gene	chromosome	tss
MAP7D3	chrX	135338641
CD1C	chr1	158259713
CD1B	chr1	158301321
CYP24A1	chr20	52790525
BCL2A1	chr15	80263538
SCGB1D1	chr11	61957688
SPATA17	chr1	217804686
PRSS38	chr1	228003418
EDARADD	chr1	236558713
WDR35	chr2	20189866
ZNF182	chrX	47863388
LINC01876	chr2	157111443
FLJ46875	chr2	157198632
TMUB1	chr7	150780106
GAB3	chrX	153979352
FAM133DP	chr2	158237021
RPL35	chr9	127624236
GLRX5	chr14	96001387
KLC3	chr19	45844008
STX12	chr1	28099730
TAS2R60	chr7	143140546
MAGED2	chrX	54835514
CCDC148-AS1	chr2	159023162
CCDC148	chr2	159313265
LHX9	chr1	197881635
KDM1B	chr6	18155653
PKP4-AS1	chr2	159591514
C10orf120	chr10	124459362
SPATA31D4	chr9	84543343
BANK1	chr4	102711764
TTLL5	chr14	76127589
MIR6888	chr2	160043346
NOTUM	chr17	79919063
AAK1	chr2	69870871
LOC643072	chr2	160471805
OR56A5	chr11	5989724
LY75-CD302	chr2	160761267
C3orf33	chr3	155524076
C8orf82	chr8	145754495
OR2A42	chr7	144015218
IFNL4	chr19	39739496
LDLRAD4	chr18	13278104
SRL	chr16	4292081
LINC02478	chr2	161128406
MIR4785	chr2	161264393
APELA	chr4	165798330
ATXN2	chr12	112037119
HTRA3	chr4	8271481
LOC101929512	chr2	162111154
LINC01806	chr2	162101250
AHCTF1P1	chr2	162364413
FBXW10	chr17	18647367
TPO	chr2	1417235
IGF2R	chr6	160390131
SLC45A2	chr5	33984798
LOC101929532	chr2	162970951
RPUSD3	chr3	9885692
ZNF146	chr19	36705504
HIGD1C	chr12	51346327
FAM50A	chrX	153672488
GTF3C1	chr16	27561234
REM1	chr20	30063091
INPP4B	chr4	143767688
SNORA70F	chr2	165544287
LOC101929633	chr2	165697259
KIAA0355	chr19	34745459
SLC4A1	chr17	42345503
CSRNP3	chr2	166326208
LOC100506124	chr2	166728451
ISLR	chr15	74466888
TTC21B-AS1	chr2	166790367
LOC102724058	chr2	166813928
ALDH1A1	chr9	75567969
LYPD8	chr1	248903151
AOC1	chr7	150549605
CT45A3	chrX	134883686
PBDC1	chrX	75392897
INO80C	chr18	33077924
UBL4B	chr1	110655065
WNT7B	chr22	46373042
PDE4B-AS1	chr1	66516401
DIAPH2-AS1	chrX	96819534
ZNF564	chr19	12662296
SLFN5	chr17	33570091
SCN1A-AS1	chr2	166938041
SCN7A	chr2	167343481
PARP3	chr3	51976321
THAP6	chr4	76439683
PILRB	chr7	99955626
PNRC2	chr1	24286318
CYP39A1	chr6	46620567
MIR4774	chr2	169439453
CERS6-AS1	chr2	169642939
NOSTRIN	chr2	169659100
TRIM60	chr4	165953151
TRIM42	chr3	140396906
LRRC4	chr7	127671490
CCDC116	chr22	21987086
SDE2	chr1	226187044
MPZL3	chr11	118123080
GRM8-AS1	chr7	126855181
FABP9	chr8	82373814
DUSP18	chr22	31063862
CFAP57	chr1	43638001
SNORD3K	chr2	170672789
BYSL	chr6	41889237
RPS6KB2	chr11	67195965
WFDC10A	chr20	44258378
L3MBTL2-AS1	chr22	41613631
MYO3B-AS1	chr2	171207453
LOC101926913	chr2	171627276
LINC01124	chr2	171571077
MTTP	chr4	100485235
ACP7	chr19	39575008
CCDC28B	chr1	32665987
CETN1	chr18	580380
NARS1	chr18	55289068
DLX2-DT	chr2	172967734
SDC3	chr1	31381605
SLC30A9	chr4	41992547
PTCD1	chr7	99036421
RAPGEF4-AS1	chr2	173600934
MAP3K20-AS1	chr2	174146764
RASIP1	chr19	49243867
LINC01960	chr2	174890008
LINC01305	chr2	175190755
PSMD5	chr9	123605200
OLR1	chr12	10324790
SLC24A5	chr15	48413187
CDCA2	chr8	25316447
ETV3	chr1	157108383
HOXD-AS2	chr2	177001826
LOC401021	chr2	177001340
ALDH3A1	chr17	19648925
MIR622	chr13	90883436
MIR615	chr12	54427734
MIR7704	chr2	177053571
TIPIN	chr15	66649023
CCNE2	chr8	95907482
MAP3K8	chr10	30723113
TPRG1L	chr1	3541579
LINC01117	chr2	177502482
OR5T1	chr11	56043115
OR5M3	chr11	56238014
COL4A2-AS2	chr13	111115634
FAM153B	chr5	175490712
TCP10L2	chr6	167584107
MIR4444-1	chr3	75263627
MIR4444-2	chr3	75263627
MIR3128	chr2	178120738
LOC100130691	chr2	178257419
MIR6512	chr2	178178610
RAB4B	chr19	41284152
OR7D4	chr19	9325547
OR7A10	chr19	14952689
OR6X1	chr11	123625226
LRRC52	chr1	165513237
MIR181B2	chr9	127455989
MIR200C	chr12	7072862
HELT	chr4	185939995
DERA	chr12	16064266
SERPINA10	chr14	94759605
SIRPG	chr20	1638425
NUP85	chr17	73201531
TCEAL8	chrX	102510121
PRR14	chr16	30662099
LRCH4	chr7	100183752
ERBB2	chr17	37856231
FADS1	chr11	61584475
METTL1	chr12	58165888
ADGRA3	chr4	22517689
C20orf141	chr20	2795633
MRPL39	chr21	26979793
ADAMTS14	chr10	72432262
RSPO3	chr6	127439816
PTPN5	chr11	18813345
GAL3ST2	chr2	242716237
GOLPH3	chr5	32174425
PBLD	chr10	70092685
NLRP4	chr19	56347906
SYNC	chr1	33168371
ZNF713	chr7	55955149
CGB5	chr19	49547105
ZNF585B	chr19	37701438
MYPOP	chr19	46405871
CFAP100	chr3	126113752
GSDMC	chr8	130798870
ATP6V0B	chr1	44440632
RGS20	chr8	54793432
ADGRF1	chr6	47010068
IGFBP7	chr4	57976551
TTBK1	chr6	43211219
FAM131C	chr1	16400146
LENG1	chr19	54663459
TMEM243	chr7	86849903
ACOT9	chrX	23761393
GEN1	chr2	17935136
DIP2B	chr12	50898768
CTF1	chr16	30907928
PLCXD2	chr3	111393523
LSMEM1	chr7	112120908
YIPF7	chr4	44653658
RGPD4	chr2	108443388
TRPV6	chr7	142583490
S1PR5	chr19	10628641
WSB2	chr12	118499979
TMEM88	chr17	7758384
TAF1L	chr9	32635667
LOC101927055	chr2	179641653
PRTG	chr15	56035350
F3	chr1	95007315
MIR1258	chr2	180725635
MIR532	chrX	49767754
POLDIP3	chr22	43010889
LINC01934	chr2	181988564
FAM167A	chr8	11324262
FAM3C	chr7	121036362
FAS-AS1	chr10	90752732
LINC00993	chr10	37598114
PLCB2	chr15	40600136
NUTM1	chr15	34635516
ATP1A3	chr19	42498382
PITPNB	chr22	28315244
HLTF	chr3	148804320
ZDHHC8	chr22	20119327
SPATA7	chr14	88851988
ZNF222	chr19	44529531
MS4A13	chr11	60282865
MIR548AE1	chr2	185243702
LOC105373782	chr2	186031799
FSIP2-AS2	chr2	186605204
FSIP2-AS1	chr2	186664878
LINC01473	chr2	186951044
DNAH5	chr5	13944589
AP3S2	chr15	90437226
SRGN	chr10	70847359
PREP	chr6	105850957
HOXC10	chr12	54378930
LINC01090	chr2	189152418
PRR20C	chr13	57721622
PROB1	chr5	138730793
NETO2	chr16	47177856
MIR1245A	chr2	189842818
MIR1245B	chr2	189842887
MIR3606	chr2	189860356
EFCAB9	chr5	171621176
XDH	chr2	31637608
TPTEP2-CSNK1E	chr22	38794920
NEFM	chr8	24772500
NCL	chr2	232329195
OSGEPL1-AS1	chr2	190627506
URB2	chr1	229761963
NOL11	chr17	65713949
MAGEA3	chrX	151938198
PCK1	chr20	56136166
TIMM29	chr19	11039487
HYLS1	chr11	125756955
DERL3	chr22	24181193
ARHGEF17	chr11	73019321
LGALS2	chr22	37976094
AGR2	chr7	16844623
LOC105373805	chr2	191886252
DDX27	chr20	47835832
SPO11	chr20	55904859
LOC105747689	chr2	192554907
LOC107986794	chr7	51460953
PCGEM1	chr2	193614571
LINC01821	chr2	195208993
LINC01790	chr2	195595319
SLC5A3	chr21	35445878
LKAAEAR1	chr20	62715712
NDUFAF8	chr17	79213111
HMCES	chr3	128997837
HECW2-AS1	chr2	197124748
LOC100130452	chr2	197577736
CCDC150	chr2	197504439
BPTF	chr17	65821619
ANKRD44	chr2	198175504
ANKRD44-IT1	chr2	198167243
COQ10B	chr2	198318147
SNORA105A	chr5	21884563
SNORA105B	chr5	21884563
RAB40B	chr17	80656574
LINC01923	chr2	199239821
SATB2-AS1	chr2	200332821
LINC01877	chr2	200472791
FTCDNL1	chr2	200715896
NAT2	chr8	18248792
NUP62CL	chrX	106449663
SPATA31A3	chr9	40700291
RHBDD2	chr7	75508352
PCMTD2	chr20	62887048
TCP11L1	chr11	33061561
FBL	chr19	40337019
AOX3P-AOX2P	chr2	201560446
LINC01792	chr2	201599900
SLC35E2B	chr1	1624234
LCN1	chr9	138413286
C1QTNF12	chr1	1182102
MCUR1	chr6	13814792
ERGIC1	chr5	172261254
CCNYL2	chr10	42967688
DNAJC19	chr3	180707524
MIR1912	chrX	113886019
MIR613	chr12	12917583
CNTNAP3P2	chr9	43685196
GOLGA6L17P	chr15	82804003
LINC02687	chr11	45392948
LRRC4C	chr11	41481202
MIR3065	chr17	79099677
LOC100288203	chr15	30763372
PGM5-AS1	chr9	70972782
PRAMENP	chr22	22398332
STPG3	chr9	140145713
LINC02683	chr11	13946410
CFLAR-AS1	chr2	202022515
DNALI1	chr1	38022541
CTXN2	chr15	48484235
RTN4RL2	chr11	57228001
OR51E1	chr11	4665212
FGFBP3	chr10	93669243
CTAGE15	chr7	143268894
MNDA	chr1	158801141
CPA6	chr8	68658595
DMRTA2	chr1	50889115
SEMA6B	chr19	4559696
KIAA2012-AS1	chr2	202981781
LOC114841040	chr22	40440534
NFKBIZ	chr3	101546834
SNORD70	chr2	203141154
SNORD70B	chr2	203142836
SNORD11B	chr2	203156040
SNORD11	chr2	203157774
EXOC3L4	chr14	103566481
FAM186A	chr12	50790392
FOXL1	chr16	86612155
AARD	chr8	117950446
CLEC4D	chr12	8666099
SLC14A2	chr18	42747928
DOLK	chr9	131709882
NYAP2	chr2	226265602
EBNA1BP2	chr1	43637986
BAALC	chr8	104152953
ZFP3	chr17	4981762
NATD1	chr17	21156722
TMEM199	chr17	26684670
SYT12	chr11	66790264
STAP2	chr19	4338824
CDK5	chr7	150754984
UCP3	chr11	73720130
HAND2	chr4	174451380
FCN2	chr9	137772656
GCSHP3	chr2	206981296
TM4SF19	chr3	196065259
SNORD51	chr2	207026605
SNORA41	chr2	207026952
UBE2Q2	chr15	76135788
SLC29A4	chr7	5322574
GRAPL	chr17	19030902
MIR3130-1	chr2	207648032
MIR3130-2	chr2	207647958
POT1	chr7	124570037
MIR3941	chr10	124176481
MIR2355	chr2	207974797
MIR7845	chr2	208031124
MYOSLID-AS1	chr2	208119040
MYOSLID	chr2	208104535
LINC01802	chr2	208125169
MIR1302-4	chr2	208134148
MAST1	chr19	12949329
HSD17B2	chr16	82068858
HRC	chr19	49658653
SGO1-AS1	chr3	20215778
LOC100507443	chr2	208983853
LLGL1	chr17	18128949
IDH1-AS1	chr2	209119957
ALX4	chr11	44331689
LOC101927960	chr2	209407367
CPNE3	chr8	87526664
HENMT1	chr1	109204148
PIH1D1	chr19	49955071
PLBD1	chr12	14720817
PDE3B	chr11	14665269
LANCL1-AS1	chr2	211189436
ZBTB38	chr3	141105267
TMPPE	chr3	33138638
CPS1-IT1	chr2	211482295
MIR548F2	chr2	213291084
LINC01878	chr2	213660055
MIR4776-1	chr2	213790981
MIR4776-2	chr2	213791060
MAPK14	chr6	35995454
LINC01953	chr2	214032434
SPAG16-DT	chr2	214148933
MIR4438	chr2	214622791
MTMR14	chr3	9691189
VWC2L	chr2	215275778
VWC2L-IT1	chr2	215374906
TRIM68	chr11	4629461
GBP7	chr1	89641686
SNORA70I	chr2	215711671
SPDYE14	chr7	74910111
RIBC2	chr22	45809574
SERBP1	chr1	67896085
H2AC14	chr6	27782518
DNAJC9	chr10	75007013
TBC1D12	chr10	96162298
SLC7A14	chr3	170303864
LDLRAP1	chr1	25870097
PSMD6	chr3	64009148
PASK	chr2	242089394
HCRTR2	chr6	54971258
ZDBF2	chr2	207139387
SERPINB10	chr18	61575192
TESMIN	chr11	68518988
HAPLN2	chr1	156589207
ARFGEF1	chr8	68256016
PIAS4	chr19	4007734
CLN5	chr13	77566216
GABRB2	chr5	160973731
LYSMD1	chr1	151138378
CCDC146	chr7	76751932
DNAH2	chr17	7621062
VPS41	chr7	38948791
CATSPERD	chr19	5720648
LOC102724849	chr2	216318430
LINC00607	chr2	216708259
LINC01963	chr2	217081612
GATA3	chr10	8096651
E2F4	chr16	67226058
GATA1	chrX	48644998
LINC01280	chr2	217471661
LOC105373876	chr2	217732532
LINC01921	chr2	217735495
DIRC3-AS1	chr2	218147456
DIRC3	chr2	218621316
PENK	chr8	57359200
DBP	chr19	49140636
DAZL	chr3	16646297
SNORA115	chr2	218698456
MIR199A2	chr1	172113784
LOC105373878	chr2	218843430
RUFY4	chr2	218933738
CXCR2P1	chr2	218926013
VWF	chr12	6233841
SIAH2	chr3	150480956
LRFN1	chr19	39805976
MON1B	chr16	77225087
CFAP44	chr3	113160340
MIR6513	chr2	219144911
CATIP-AS2	chr2	219222689
MIR6810	chr2	219206634
FAM168A	chr11	73309157
CATIP-AS1	chr2	219232625
MEI1	chr22	42095507
DDX54	chr12	113623283
LINC00346	chr13	111522655
NPR1	chr1	153651164
CCKBR	chr11	6281068
CBR3	chr21	37507377
IPP	chr1	46216485
MIR9500	chr2	219687813
LINC01494	chr2	219795359
LINC00608	chr2	219841006
LOC100129175	chr2	219866937
CFAP65	chr2	219906238
ANAPC7	chr12	110841535
MIR3131	chr2	219923472
KRT83	chr12	52715182
JCAD	chr10	30404423
CNPPD1	chr2	220041896
RETREG2	chr2	220042997
ZNF445	chr3	44519162
ALKAL1	chr8	53477990
HAS3	chr16	69141443
REELD1	chr4	147135690
KCND3	chr1	112531777
MAGEB17	chrX	16185604
LDB1	chr10	103880125
DENND4B	chr1	153919194
ASZ1	chr7	117067547
TMEM198	chr2	220408750
FGD6	chr12	95611243
MIR3132	chr2	220413869
RHOG	chr11	3862189
ARF6	chr14	50359800
ARL4D	chr17	41476361
LINC01803	chr2	220769610
MIR4268	chr2	220771286
OR13C4	chr9	107289490
ATP1A4	chr1	160121393
CT75	chr2	223185380
TAS2R1	chr5	9630463
UBE3C	chr7	156931620
CNGB3	chr8	87755903
MED12L	chr3	150804585
SOX9	chr17	70117161
H2BC21	chr1	149858232
RPL39L	chr3	186857284
ST6GALNAC4	chr9	130679320
S1PR4	chr19	3178767
HYAL2	chr3	50360281
BAHCC1	chr17	79373174
MIR4439	chr2	225875257
LOC646736	chr2	227007510
MIR5702	chr2	227523509
OR4N2	chr14	20271929
PDE6A	chr5	149324356
DYNLT3	chrX	37706824
MYMK	chr9	136390081
MGAT4D	chr4	141419447
ANKRD62	chr18	12093842
NPIPB12	chr16	30257176
MIR5703	chr2	228336848
MAPK8IP3	chr16	1756184
LRRC73	chr6	43478081
LOC729968	chr2	228483371
DAW1	chr2	228736347
DDIT4L	chr4	101111625
OMA1	chr1	59012398
LINC01807	chr2	229476111
NPRL3	chr16	188697
TRIM52	chr5	180688144
TMEM268	chr9	117373571
BTG2	chr1	203274647
SKA2	chr17	57232547
MAP4K2	chr11	64570686
RNF141	chr11	10562734
LFNG	chr7	2559408
GPAM	chr10	113943523
FLOT1	chr6_ssto_hap7	2042781
PREB	chr2	27357543
CYTH4	chr22	37678549
POMT2	chr14	77787225
ZNF318	chr6	43337385
PROSER3	chr19	36249077
FIGNL2	chr12	52225701
NHSL1	chr6	138893706
FRG2C	chrUn_gl000222	89449
CXCL16	chr17	4643223
LINC01907	chr2	231565244
SPATA3-AS1	chr2	231860747
MIR219A2	chr9	131154993
SMAD7	chr18	46475703
REEP5	chr5	112257924
ST8SIA4	chr5	100238986
PFDN4	chr20	52824626
PFDN1	chr5	139682686
MIR4777	chr2	232227419
PRKCB	chr16	23847304
SNORA75	chr2	232320647
SNORD20	chr2	232321234
SNORD82	chr2	232325153
LINC00471	chr2	232379050
ELOA3	chr18	44550534
FAN1	chr15	31196055
PINK1	chr1	20959951
MIR1471	chr2	232757008
KCNA6	chr12	4918342
DNAJC15	chr13	43597722
ATXN10	chr22	46067678
RPS19BP1	chr22	39928753
MIR562	chr2	233037363
SLC25A46	chr5	110074708
ECEL1P2	chr2	233251754
RAB3B	chr1	52456372
MIR5001	chr2	233415283
C3orf86	chr3	44481390
ZNF23	chr16	71496150
NLGN4X	chrX	6145888
S100A13	chr1	153599524
MYOZ2	chr4	120056987
TMEM233	chr12	120031579
MVB12A	chr19	17530856
MIR3978	chrX	109325346
DCST1-AS1	chr1	155023641
MIR4530	chr19	39900318
MIR4487	chr11	47422521
CNTNAP3B	chr9	43684885
LOC101928881	chr2	233877324
PIGU	chr20	33265089
FHDC1	chr4	153857475
SCARNA5	chr2	234184372
SCARNA6	chr2	234197322
TRIM38	chr6	25963030
PHLPP2	chr16	71749743
FAM20B	chr1	178995259
KCNJ1	chr11	128737268
LOC100286922	chr2	234663991
PHF21B	chr22	45405886
MSL3P1	chr2	234777055
IGHMBP2	chr11	68671319
IGFBP6	chr12	53491451
LINC01891	chr2	235363239
LINC01173	chr2	235591312
AGAP1-IT1	chr2	236414395
TNRC17	chr2	236426565
NMI	chr2	152146182
LOC93463	chr2	237964810
PCDHGB4	chr5	140767452
RBMS2	chr12	56915604
MIR6811	chr2	238419574
GRIP2	chr3	14581849
USP38	chr4	144106070
SLFN12L	chr17	33814758
SEC16B	chr1	177953438
CSPG4	chr15	76005189
MYBBP1A	chr17	4458681
C20orf173	chr20	34117481
UBE2F-SCLY	chr2	238875587
DHRS1	chr14	24768666
DPH2	chr1	44435682
ZCRB1	chr12	42719896
LINC02610	chr2	239140318
LOC643387	chr2	239140327
LINC01107	chr2	239464140
LINC01940	chr2	239847965
MIR4440	chr2	239990610
MIR4441	chr2	240007622
MGC16025	chr2	240117153
MIR4269	chr2	240227157
MIR2467	chr2	240273499
HDAC4-AS1	chr2	240323442
LOC150935	chr2	240684554
MIR4786	chr2	240882511
GSTCD-AS1	chr4	106748329
H2AZ1-DT	chr4	100871651
COPS9	chr2	241075722
ZYG11A	chr1	53308432
SMIM26	chr20	18548064
OR51A2	chr11	4976943
CAPN10-DT	chr2	241525733
LOC285191	chr2	241625751
HGFAC	chr4	3443695
TAF11	chr6	34855819
KRBA1	chr7	149412102
CEL	chr9	135937369
ARRDC1	chr9	140500138
C4orf33	chr4	130014867
LOC200772	chr2	241906868
ZNF783	chr7	148959287
MTERF4	chr2	242041702
ZG16	chr16	29789577
TMEM266	chr15	76352326
RBP1	chr3	139258584
FAM205A	chr9	34729485
MAGEH1	chrX	55478560
SLX4	chr16	3661607
TNRC6C	chr17	76000318
BICRAL	chr6	42788794
ZNF517	chr8	146024261
ABCD1	chrX	152990311
MIR3133	chr2	242417320
NCBP3	chr17	3749540
TRIM11	chr1	228594536
PRAP1	chr10	135160877
MRPS12	chr19	39421594
BOK-AS1	chr2	242498558
HJURP	chr2	234763212
UBE2E2	chr3	23244818
ZNF71	chr19	57106664
GOLGA2	chr9	131038231
RAB6B	chr3	133614726
CLEC10A	chr17	6983570
LINC01237	chr2	242823514
LOC285095	chr2	242844774
LINC01238	chr2	242912834
LOC285097	chr2	242943360
LINC01880	chr2	243026289
LINC01881	chr2	243030784
CERS2	chr1	150947479
CCNB3	chrX	49969416
GRAP	chr17	18950270
CD300LB	chr17	72527614
NRSN2-AS1	chr20	305896
PROP1	chr5	177423243
MIR1207	chr8	129061398
MIR1204	chr8	128808208
MIR663B	chr2	133014653
MIR1183	chr7	21510676
MIR1238	chr19	10662798
MIR1181	chr19	10514214
PLEKHH3	chr17	40828029
NUP210	chr3	13461822
FAM110A	chr20	814358
LOC105372493	chr20	1099091
FKBP1A-SDCBP2	chr20	1373816
SDCBP2-AS1	chr20	1305987
SGK1	chr6	134498999
ZBTB7A	chr19	4065527
KRTAP9-1	chr17	39346139
SIRPG-AS1	chr20	1614154
LOC100289473	chr20	1760392
PDYN-AS1	chr20	1927856
LMAN1L	chr15	75105176
OR2L2	chr1	248201474
HS1BP3	chr2	20850858
SNORD119	chr20	2443693
CEP295	chr11	93394848
FIBP	chr11	65655942
LYZL2	chr10	30918682
PRICKLE2	chr3	64253849
MIR1292	chr20	2633423
SNORA51	chr20	2635713
SNORD56	chr20	2637270
SNORD57	chr20	2637585
DNMT3L	chr21	45681780
TMEM239	chr20	2797010
UBOX5-AS1	chr20	3087557
LZTS3	chr20	3154195
MIR618	chr12	81329612
MIR599	chr8	100548958
MIR597	chr8	9599182
SERPINE1	chr7	100770385
OXSR1	chr3	38207028
MIR516A1	chr19	54259995
MIR520G	chr19	54225420
MIR520B	chr19	54204481
MIR520D	chr19	54223350
MIR519B	chr19	54198467
MIR512-1	chr19	54172417
KITLG	chr12	88974250
NPY1R	chr4	164253748
ELL3	chr15	44069164
PNMA5	chrX	152160761
CSMD1	chr8	4852436
CDC23	chr5	137549012
CHST12	chr7	2443246
CLEC4G	chr19	7797057
UNC5B	chr10	72972327
LINC01730	chr20	3789141
ZNF428	chr19	44123781
LEPROTL1	chr8	29952924
COX4I2	chr20	30225715
CRB3	chr19	6463788
LINC01433	chr20	4173737
POLR2J3	chr7	102213068
PRNT	chr20	4721314
TTLL1	chr22	43485434
PLK4	chr4	128802048
TSSK3	chr1	32828140
WDR7	chr18	54318616
PCNA-AS1	chr20	5100232
LINC00658	chr20	5426394
LOC643406	chr20	5451842
LINC00654	chr20	5485242
LINC01729	chr20	5490648
BLVRA	chr7	43798272
CISH	chr3	50649205
FBXL8	chr16	67193860
PLK5	chr19	1524076
STRN3	chr14	31495585
PTPN4	chr2	120517498
MCM8-AS1	chr20	5986467
LSM12	chr17	42144039
ANKRD11	chr16	89556969
CASC20	chr20	6407379
LINC01713	chr20	6716783
LINC01428	chr20	7234849
LINC01751	chr20	7288079
LINC01706	chr20	7328080
MIR8062	chr20	7352255
CRHR2	chr7	30739719
PLCB1-IT1	chr20	8229351
RNU105B	chr20	8811832
MIOX	chr22	50925288
MROH1	chr8	145202919
LAMP5-AS1	chr20	9495645
LAMP5	chr20	9495237
SNAP25-AS1	chr20	10200154
AS3MT	chr10	104629227
SEC14L4	chr22	30901682
N4BP3	chr5	177540533
ADM2	chr22	50919972
MIR6870	chr20	10630343
LINC01752	chr20	10733738
LOC101929413	chr20	10889920
LOC339593	chr20	11254031
LINC00687	chr20	11851363
BTBD3	chr20	11898541
LINC01722	chr20	12933167
LOC102606466	chr20	12917611
LINC01723	chr20	12930988
FUT5	chr19	5870551
FUT4	chr11	94277017
FRK	chr6	116382054
BMF	chr15	40398287
ISM1-AS1	chr20	13220334
TCTN2	chr12	124155660
ZBTB8A	chr1	33005028
LOC100507065	chr12	66036152
LINC01510	chr7	116254874
IL7R	chr5	35856993
SLC25A51P4	chr11	18230685
SLC25A51P1	chr6	66497772
KRT35	chr17	39637392
PCDHGA10	chr5	140792743
MACROD2-IT1	chr20	14535030
MACROD2-AS1	chr20	14910164
LOC613266	chr20	15966527
KCNAB3	chr17	7832753
RUNDC3B	chr7	87257714
KCNG2	chr18	77623668
SNORD17	chr20	17943589
KAT14	chr20	18122868
ETV6	chr12	11802608
GRB2	chr17	73401790
ETFB	chr19	51858096
VPS37B	chr12	123380671
LINC00851	chr20	18359693
C5AR1	chr19	47813118
GDF15	chr19	18496968
BTN1A1	chr6	26500531
BTG1	chr12	92539622
BSG	chr19	572596
BRS3	chrX	135570106
BPI	chr20	36932558
PIP5K1C	chr19	3700466
MIR515-1	chr19	54188263
ASB15	chr7	123249077
MIR3192	chr20	18451259
CACNA2D3	chr3	54156579
EFNB1	chrX	68048840
SPAG16	chr2	214149103
LINC00652	chr20	18775228
LINC00653	chr20	18774693
LOC100130264	chr20	19265240
TPRN	chr9	140095193
LINC00237	chr20	21086999
ROPN1L	chr5	10441991
POU2F3	chr11	120110849
KIZ-AS1	chr20	21198927
ERBB4	chr2	213403352
LINC01727	chr20	21550662
LINC01726	chr20	21684223
LINC01432	chr20	22034728
LINC01427	chr20	22263439
LOC284788	chr20	22401281
LINC01747	chr20	22665982
LINC00656	chr20	23113273
LINC01431	chr20	23338764
QSER1	chr11	32914357
NRDE2	chr14	90798285
CST13P	chr20	23499783
PLEKHG4	chr16	67313435
LINC01721	chr20	24180403
ZSCAN21	chr7	99647417
LOC284798	chr20	25129426
LOC101926889	chr20	25177528
TRPV3	chr17	3461106
OTOS	chr2	241080075
CLDN19	chr1	43205907
HUS1B	chr6	656964
CFAP410	chr21	45759273
FGF22	chr19	639926
UBQLN3	chr11	5531187
ZNF337-AS1	chr20	25604861
ZNF337	chr20	25677489
LOC105372582	chr20	25731844
FAM182B	chr20	25781927
LOC101926935	chr20	25834657
LINC01733	chr20	25936448
LOC100134868	chr20	25990435
FAM182A	chr20	26035250
MIR663AHG	chr20	26189869
LINC01597	chr20	29521213
FAM242B	chr20	29570363
FRG1BP	chr20	29611840
FRG1DP	chrUn_gl000219	99477
MLLT10P1	chr20	29638138
ENTR1	chr9	139305066
TBC1D28	chr17	18547740
DEFB122	chr20	30016983
LINC00028	chr20	30073581
PCDH10	chr4	134070449
KRTAP4-11	chr17	39274625
KRTAP4-1	chr17	39341163
DMRTC1	chrX	72095622
HM13-AS1	chr20	30161066
MIR3193	chr20	30194989
ABALON	chr20	30309310
CFAP43	chr10	105992135
KIAA1671-AS1	chr22	25508659
CEP152	chr15	49103266
PPP1R14D	chr15	41120906
TOR4A	chr9	140172178
MTA1	chr14	105886164
REL	chr2	61108709
TSPY26P	chr20	30778163
MIR1825	chr20	30825598
ARID3A	chr19	926035
LOC101929698	chr20	31097762
NOL4L-DT	chr20	31175281
SLC51B	chr15	65337725
ABL1	chr9	133710641
NPAS2	chr2	101436601
ZNF329	chr19	58662156
SAP30L	chr5	153825557
HIC2	chr22	21771660
RTL10	chr22	19842397
ALKBH7	chr19	6372805
GDI2	chr10	5855512
MRPS16	chr10	75012402
ALG10B	chr12	38710576
GARNL3	chr9	130026756
BPIFA4P	chr20	31781411
APOL6	chr22	36044493
XPO4	chr13	21476913
TMEM176A	chr7	150497857
USP8	chr15	50716602
DDX20	chr1	112298523
ANXA10	chr4	169013688
PNPLA3	chr22	44319685
ZBTB46	chr20	62462617
ZNF341-AS1	chr20	32398905
C1orf115	chr1	220863705
RALY-AS1	chr20	32582173
DENND4A	chr15	66084631
MIR4755	chr20	32636925
PNPLA7	chr9	140444854
POP1	chr8	99129521
BRAT1	chr7	2595158
EMX2OS	chr10	119302100
GNAS-AS1	chr20	57425958
HYMAI	chr6	144329867
CD300LG	chr17	41924544
HMGB3P1	chr20	33422265
MRC2	chr17	60705031
PLEKHM2	chr1	16010815
FAM106A	chr17	18430160
STX3	chr11	59522849
NRIP1	chr21	16437321
MIR499B	chr20	33578275
MIPEP	chr13	24463539
TEX13A	chrX	104465377
MIR33B	chr17	17717245
FAM83C-AS1	chr20	33873054
TCERG1L	chr10	133109984
AARSD1	chr17	41116471
MIR1289-1	chr20	34041919
SMIM40	chr6_qbl_hap6	4529304
ALDH3A2	chr17	19552064
TPRG1	chr3	188889760
IRX3	chr16	54320699
TPRX1	chr19	48306861
DLX1	chr2	172950235
CYB5A	chr18	71959198
DPY19L4	chr8	95732128
LCK	chr1	32716866
NEURL1	chr10	105253462
TPMT	chr6	18155400
TNFRSF10D	chr8	23021540
VSIG10	chr12	118541816
DUSP11	chr2	74007284
NANS	chr9	100819014
PDYN	chr20	1974931
IPO13	chr1	44412622
LOC100130373	chr20	34743682
POLR3A	chr10	79789273
DLGAP4-AS1	chr20	35201678
PRDX4	chrX	23685610
SPRY2	chr13	80915261
SDHA	chr5	218435
BMT2	chr7	112579930
IL17F	chr6	52109298
SH3RF2	chr5	145316141
TLDC2	chr20	35504541
RPL24	chr3	101405562
RPL23A	chr17	27047003
RBM46	chr4	155702424
C6orf118	chr6	165723094
PCDH8	chr13	53422775
